GaiaEDR3,Teff,logY
1792620565667968,,
3018713469617920,39190,-0.19
3101962820420608,,
5256284056331776,,
6052403489630720,36414,0.38
9031663388738048,,
9132341717393792,30700,-2.4
10844075163628928,,
11015044926034816,33853,-1.85
11963171843658240,41361,-2.85
13746369248366848,34920,-1.65
14614094376622592,,
16615171179593088,26600,-2.7
18690877333956992,29889,-2.13
20063858119453824,31466,-2.53
20948346504556160,30274,-3.51
23330399790876032,,
23700286669971584,41667,1.45
23927232741928192,,
25501939551450880,31876,-1.88
27378015625892864,,
30166132300899584,,
30269452033850624,47520,0.9
31009771252186752,45102,1.49
31265029748469120,54318,-1.47
31918414533148928,32755,-1.38
32061660282461824,27816,-3.39
35928500943041152,28092,-3.03
36876009385300352,43804,2.1
40154478181532544,,
43520323793261440,,
43644087569282688,,
44951132016854016,23577,-2.44
45044521785486848,,
46608061680943872,29995,-2.9
56105192148111616,67208,-0.43
56252977678408192,30205,-2.46
57358399181633920,33830,-1.74
63139734399542528,48957,1.28
64368713521485568,27591,-2.88
67303928533459968,,
68334308365794304,26583,-3.43
69389186693079040,33593,-2.07
69784942159807232,40066,-0.96
70693070045960576,,
74703607425569024,,
75811331030771200,25400,
77515058657678592,30310,-2.61
78846635958426496,30600,-2.8
79376016447500416,55000,0.95
79800118698241920,,
80762260092162688,,
83757226686850816,,
84006403509432192,26100,-3.0
85707760314515712,37916,-1.55
89370302266244608,,
89920844058789888,,
92226691740846080,35346,-1.46
93468972376758144,35800,-1.67
97013488627139328,36462,-1.6
98546306620215168,,
99836961472298752,37726,-0.9
100734064176680704,,
101096662495962240,27540,-3.2
101206407500333184,32400,-1.5
101826669497182720,50765,-1.97
101826669497182720,46670,-2.18
102583301000450688,30988,-3.21
102622917779071744,,
102803104542235008,41200,2.1
107344877838785408,,
107585292928397568,25480,-2.81
107665724780053376,34500,-1.53
108002248353357312,24230,-3.88
115962815619380096,27654,-1.76
116691791828603136,39230,-1.69
120129277493243008,29900,-2.4
120354952254440960,33575,-1.73
121811255405332352,40488,-2.33
121824174666929024,32213,-2.34
122811948425592832,19007,-2.13
123108816565129344,55880,-2.01
125093503772825856,36093,-1.69
125893776439505664,43764,1.08
126231459651936384,,
127674641678296704,47501,-2.83
129720592299213056,,
130178779413816832,31310,-1.93
130950357400044800,39810,-1.21
131639132715140864,,
132944115577925504,29213,-2.52
133373444804991744,34300,-3.3
134510477267997952,24828,-3.85
134881321926367488,30498,-3.03
136578796078347008,,
139566718927185408,30842,-1.9
140013945281609088,,
141428363911552384,44029,1.49
142086971376178688,39468,-1.52
142334632074840576,60006,-0.03
142548697540212352,30100,-2.1
143510907654193024,,
143711053130199936,,
146588028382865280,38051,-4.3
150218508402721152,,
150480505705334784,30479,-2.44
150610660393771648,64329,
156174219292762624,29192,-2.29
162510331145183104,31852,-3.46
162522700650966400,31815,-3.87
162746416906630400,,
162930585103541888,27640,-2.84
163016106492676352,30734,-2.7
163105579251092992,17618,-2.74
163565999746075264,35531,-2.76
164444372096280192,,
165712109004835712,31570,-2.09
165787700429000064,25269,-2.7
166876629257005696,34169,-2.68
168937010969340160,90000,0.4
169258102725227008,37295,-1.68
170774775937432832,28270,-2.81
172188296914590208,,
172497843798246912,,
172507567604391040,,
172757637778993920,,
175182919911854720,,
176164272695455744,44105,2.16
176209799348981376,37562,-1.49
177389712764641920,43452,0.1
180006683580428928,80000,
181774221540061824,24320,-2.26
183572846467281152,33283,-1.9
183644937494792320,26566,-1.87
184468780942344960,26830,-3.78
187949697318585856,37153,-1.55
189831438452843008,30797,-3.01
190164354254168192,37164,-1.57
190970433715259904,38898,-0.54
191727718051389312,33917,-1.3
193503502346470784,29205,-2.51
195587076882426880,31819,-3.15
196679269884471808,50165,-1.65
196996680850087936,,
197796403761616256,52829,0.57
199210757970191744,34015,-1.6
201146826149598464,32443,-2.58
201795194412994432,32739,-2.64
205078336132788352,27680,-2.87
206657161813612288,35157,-1.98
217062978512976000,32850,-2.49
219511728348315520,24768,-2.99
219833434282576000,,
220091342774317056,26870,-2.86
220172981513287936,74259,-1.31
221005208733887488,34893,-1.8
221190923119953536,39531,-1.53
221375331836119552,64062,-1.32
224558555440110208,30985,-1.98
225573267233289600,35210,-1.84
232217547284544896,,
234507383322003072,38846,-1.6
234861632224343424,24809,-3.01
235323736345986176,29283,-3.04
236283880578770688,27925,-2.4
